7	0.00	0.00	0.00	0.00	0.00	0.00
55	0.05	1.00	0.06	-0.85	-0.49	-0.98
107	0.12	1.00	0.03	-1.16	1.10	-1.04C�160	0.03	1.01	0.06	-0.85	-1.04��L	Fj
214	0.05	1.00	0.06	-1.16	-0.49	-1.10
268	0.05	1.01	0.06	-0.85	-0.67	-0.85
321	0.04	1.00	0.07	-0.67	-0.73	-0.79
375	0.05	1.01	0.06	-0.73	-0.49	-1.04C�430	0.06	1.00	0.06	-0.79	-0.49	-0.85
483	0.07	1.01	0.07	-1.0	-0.49	-0.91
537	0.05	1.00	0.06	-0.67	-0.73	-0.85
590	0.04	1.00	0.06	-0.67	-0.55	-0.91
645	0.06	1.01	0.07	-0.85	-0.49	-0.79
699	0.06	1.01	0.07	-0.73	-0.49	-0.85
752	0.06	1.00	0.07	-0.61	-0.43	-0.79
806	0.05	1.01	0.05	-0.79	-0.55	-1.04
860	0.05	1.00	0.06	-0.85	-0.49	-0.85
914	0.06	1.01	0.06	-0.85	-0.67	-0.98
968	0.06	1.00	0.06	-0.79	-0.43	-1.04C�1021	0.06	1.01	0.06	-0.85	-0.49	-0.85
1077	0.05	1.01	0.08	-1.28	-0.85	-0.91
1131	0.06	1.00	0.08	-0.61	-0.73	-0.85
1186	0.04	1.01	0.04	-0.67	-0.67	-0.98
1242	0.06	1.00	0.04	-0.85	-0.55	-0.91
1296	0.08	1.01	0.06	-0.91	-0.37	-1.10
1351	0.06	1.01	0.06	-0.61	-0.43	-0.79
1406	0.04	1.00	0.07	-0.98	-0.55	-0.79
1461	0.05	1.00	0.08	-0.91	-0.49	-0.91
1516	0.05	0.98	0.11	-1.28	-1.22	-0.85
1571	0.03	1.02	-0.02	0.61	-0.18	-0.85
1626	0.10	0.97	0.01	-2.01	-0.24	-0.85
1681	0.09	1.02	0.07	-0.79	-0.30	-1.10
1736	0.07	1.00	0.06	-0.55	-0.12	-1.10
1790	0.03	1.02	0.04	-0.79	-0.37	-0.91
1846	0.04	0.99	0.09	-0.91	-0.49	-0.85
1901	0.05	1.01	0.08	-0.79	-0.43	-0.98
1955	0.05	1.01	0.06	-0.67	-0.67	-0.85
2011	0.05	1.01	0.05	-0.85	-0.79	-0.91
2066	0.07	1.00	0.05	-0.85	-0.43	-0.91
2120	0.07	1.01	0.05	-0.73	-0.55	-1.10
2176	0.06	1.00	0.05	-0.98	-0.30	-0.98
2231	0.05	1.01	0.06	-0.91	-0.24	-1.04
2285	0.05	1.00	0.07	-0.67	-0.73	-0.98
2340	0.06	1.00	0.07	-0.85	-0.61	-0.85
2396	0.07	1.01	0.05	-0.85	-0.67	-0.98
2450	0.03	0.99	0.12	-0.06	-1.04	-0.91
2505	0.01	1.02	0.09	-0.91	-0.85	-0.85
2561	0.03	0.99	0.07	-0.49	-1.16	-0.79
2615	0.06	1.02	0.05	-0.73	-0.79	-0.91
2670	0.07	1.01	0.01	-0.67	-0.49	-0.79
2725	0.07	1.00	0.04	-1.16	-0.37	-1.10
2780	0.06	1.00	0.05	-0.61	-0.37	-1.04
2835	0.06	1.00	0.08	-0.85	-0.49	-1.04
2889	0.05	1.00	0.09	-0.67	-0.55	-1.04
2945	0.05	0.99	0.06	-0.85	-0.49	-0.85
3000	0.06	1.00	0.06	-0.73	-0.67	-0.91
3054	0.08	1.01	0.05	-0.67	-0.43	-1.04
3109	0.07	1.01	0.05	-0.73	-0.37	-1.0
3165	0.04	1.01	0.06	-0.67	-0.37	-0.91
3219	0.05	1.00	0.08	-0.73	-0.43	-0.85
3274	0.05	1.01	0.06	-0.67	-0.73	-0.98
3330	0.05	1.00	0.07	-1.04	-0.67	-1.0
3384	0.04	1.00	0.08	-0.85	-1.10	-0.98
3439	0.06	1.00	0.06	-0.49	-0.67	-0.98
3493	0.05	1.01	0.06	-0.67	-0.43	-0.91
3549	0.07	1.00	0.08	-0.91	-0.73	-0.79
3604	0.07	1.01	0.07	-0.73	-0.49	-1.04C�3658	0.05	1.00	0.06	-0.73	-0.55	-0.91
3714	0.05	1.00	0.07	-0.85	-0.67	-0.91
3769	0.06	1.01	0.06	-0.67	-0.61	-0.91
3823	0.05	1.00	0.07	-0.85	-0.67	-0.91
3878	0.04	1.01	0.06	-0.79	-0.67	-0.79
3934	0.05	1.00	0.08	-0.73	-0.73	-1.0
3988	0.06	1.01	0.06	-0.73	-0.61	-0.85
4043	0.06	1.00	0.06	-0.73	-0.61	-0.85
